source	type	description	text_key
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_GRASS	TXT_KEY_TERRAIN_GRASS	TXT_KEY_TERRAIN_GRASS_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_PLAINS	TXT_KEY_TERRAIN_PLAINS	TXT_KEY_TERRAIN_PLAINS_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_DESERT	TXT_KEY_TERRAIN_DESERT	TXT_KEY_TERRAIN_DESERT_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_MARSH	TXT_KEY_TERRAIN_MARSH	TXT_KEY_TERRAIN_MARSH_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_TUNDRA	TXT_KEY_TERRAIN_TUNDRA	TXT_KEY_TERRAIN_TUNDRA_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_SNOW	TXT_KEY_TERRAIN_ICE	TXT_KEY_TERRAIN_ICE_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_BURNING_SANDS	TXT_KEY_TERRAIN_BURNING_SANDS	TXT_KEY_TERRAIN_BURNING_SANDS_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_BROKEN_LANDS	TXT_KEY_TERRAIN_BROKEN_LANDS	TXT_KEY_TERRAIN_BROKEN_LANDS_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_FIELDS_OF_PERDITION	TXT_KEY_TERRAIN_FIELDS_OF_PERDITION	TXT_KEY_TERRAIN_FIELDS_OF_PERDITION_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_SHALLOWS	TXT_KEY_TERRAIN_SHALLOWS	TXT_KEY_TERRAIN_SHALLOWS_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_COAST	TXT_KEY_TERRAIN_COAST	TXT_KEY_TERRAIN_COAST_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_OCEAN	TXT_KEY_TERRAIN_OCEAN	TXT_KEY_TERRAIN_OCEAN_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_PEAK	TXT_KEY_TERRAIN_PEAK	TXT_KEY_TERRAIN_PEAK_PEDIA
Assets/XML/Terrain/CIV4TerrainInfos.xml	TERRAIN_HILL	TXT_KEY_TERRAIN_HILL	TXT_KEY_TERRAIN_HILL_PEDIA
Assets/XML/Terrain/CIV4FeatureInfos.xml	FEATURE_ICE	TXT_KEY_FEATURE_ICE	TXT_KEY_FEATURE_ICE_PEDIA
